project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Create a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $345847.,"['UI/UX Design', 'Machine Learning']",87500,PLCS0012,2021-06-06,2021-02-23
Implement a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $39401.,"['Android Mobile App Programming', 'Web Development']",70500,PLCS0013,2021-05-14,2021-02-18
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $67192.,['Data Analysis'],178000,PLCS0014,2022-04-17,2021-04-03
Code a Java Programming Project,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $33275.,['Java Programming'],54000,PLCS0015,2022-06-28,2021-02-06
Create a Web Development System,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 6 months of work and a budget of $248376.,['Web Development'],184500,PLCS0016,2022-03-12,2021-05-31
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $222201.,"['Data Analysis', 'Android Mobile App Programming']",116500,PLCS0017,2021-07-24,2021-04-06
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $161435.,"['UI/UX Design', 'C++ Programming']",165000,PLCS0018,2022-12-20,2021-05-26
Code a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $65912.,['UI/UX Design'],82500,PLCS0019,2022-05-28,2021-03-25
Implement a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $91182.,['UI/UX Design'],42500,PLCS0020,2022-02-08,2021-02-08
Design a Web Development Platform,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 4 months of work and a budget of $351976.,"['Web Development', 'UI/UX Design']",258500,PLCS0021,2022-12-02,2021-06-05
Implement a Data Analysis Project,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $324570.,"['Data Analysis', 'Web Development']",247500,PLCS0022,2021-09-06,2021-04-04
Implement a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $51640.,['UI/UX Design'],259000,PLCS0023,2021-08-25,2021-04-09
Code a C++ Programming Project,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $249290.,"['C++ Programming', 'Data Analysis']",287500,PLCS0024,2022-12-07,2021-04-04
Develop a Machine Learning Tool,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $45731.,['Machine Learning'],93500,PLCS0025,2022-07-19,2021-04-06
Develop a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $63912.,['Android Mobile App Programming'],79000,PLCS0026,2022-03-22,2021-05-26
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $148797.,['Machine Learning'],131000,PLCS0027,2021-10-01,2021-05-28
Develop a Web Development System,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $207764.,['Web Development'],81500,PLCS0028,2021-06-29,2021-03-05
Design a Machine Learning Project,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $32597.,"['Machine Learning', 'Data Analysis']",319000,PLCS0029,2022-12-29,2021-05-25
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $270738.,['Android Mobile App Programming'],264500,PLCS0030,2021-10-14,2021-05-23
Create a Java Programming System,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $340904.,['Java Programming'],351500,PLCS0031,2022-01-28,2021-03-19
Develop a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $68166.,['UI/UX Design'],252000,PLCS0032,2022-06-18,2021-02-09
Build a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $373776.,['Android Mobile App Programming'],394000,PLCS0033,2022-10-04,2021-02-18
Design a C++ Programming System,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $132607.,['C++ Programming'],378500,PLCS0034,2022-11-04,2021-04-05
Design a Machine Learning Project,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $113911.,['Machine Learning'],67500,PLCS0035,2021-05-24,2021-06-13
Design a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $356438.,['UI/UX Design'],392500,PLCS0036,2021-09-23,2021-05-18
Implement a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $303782.,['Android Mobile App Programming'],240000,PLCS0037,2022-01-01,2021-06-27
Create a Machine Learning Tool,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $102727.,"['Machine Learning', 'Android Mobile App Programming']",167000,PLCS0038,2021-06-24,2021-04-27
Code a Machine Learning App,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $147694.,"['Machine Learning', 'Data Analysis']",397000,PLCS0039,2021-02-17,2021-05-29
Build a Web Development App,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 5 months of work and a budget of $309908.,"['Web Development', 'Java Programming']",234000,PLCS0040,2022-09-30,2021-04-02
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $244998.,['Android Mobile App Programming'],50500,PLCS0041,2022-09-11,2021-05-25
Create a UI/UX Design System,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $142823.,"['UI/UX Design', 'C++ Programming']",232000,PLCS0042,2021-01-03,2021-06-03
Build a Web Development App,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $337228.,"['Web Development', 'Java Programming']",341500,PLCS0043,2021-06-04,2021-04-19
Code a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $296686.,"['Android Mobile App Programming', 'C++ Programming']",143500,PLCS0044,2021-02-20,2021-04-13
Build a Machine Learning App,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $274835.,['Machine Learning'],117000,PLCS0045,2022-09-30,2021-02-21
Code a Java Programming Tool,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $398802.,['Java Programming'],81000,PLCS0046,2022-09-04,2021-06-06
Create a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $70065.,['UI/UX Design'],82000,PLCS0047,2022-07-08,2021-03-19
Develop a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $307588.,"['Data Analysis', 'UI/UX Design']",243500,PLCS0048,2022-11-23,2021-03-09
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $212878.,"['Data Analysis', 'Machine Learning']",241500,PLCS0049,2022-05-08,2021-02-28
Implement a Data Analysis Tool,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $30579.,"['Data Analysis', 'Web Development']",261500,PLCS0050,2021-05-27,2021-03-08
Code a Web Development System,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $137359.,['Web Development'],376000,PLCS0051,2022-10-20,2021-05-21
Create a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $333532.,"['C++ Programming', 'Android Mobile App Programming']",91500,PLCS0052,2021-04-11,2021-02-04
Create a C++ Programming Project,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $137149.,"['C++ Programming', 'Machine Learning']",295500,PLCS0053,2022-07-16,2021-03-17
Build a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $265977.,['Data Analysis'],244000,PLCS0054,2022-10-04,2021-06-05
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $104474.,['Machine Learning'],294500,PLCS0055,2022-05-30,2021-04-16
Implement a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $207931.,"['Machine Learning', 'Java Programming']",222000,PLCS0056,2021-04-30,2021-06-24
Build a Web Development System,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 5 months of work and a budget of $265606.,"['Web Development', 'Machine Learning']",75500,PLCS0057,2021-05-29,2021-04-14
Create a Web Development App,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $218782.,['Web Development'],273000,PLCS0058,2021-12-31,2021-02-25
Build a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $260642.,"['Data Analysis', 'Web Development']",98500,PLCS0059,2021-07-14,2021-04-04
Design a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $374034.,"['Android Mobile App Programming', 'Java Programming']",121000,PLCS0060,2022-02-23,2021-03-04
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $260693.,"['UI/UX Design', 'Android Mobile App Programming']",330500,PLCS0061,2022-04-11,2021-06-05
Build a Java Programming App,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $104781.,['Java Programming'],113500,PLCS0062,2022-05-13,2021-06-21
Develop a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $188837.,"['Android Mobile App Programming', 'Data Analysis']",142000,PLCS0063,2021-08-08,2021-05-19
Create a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $388817.,['Machine Learning'],303500,PLCS0064,2022-01-30,2021-03-23
Create a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $253493.,['Android Mobile App Programming'],397000,PLCS0065,2022-02-08,2021-06-07
Develop a Web Development Platform,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 4 months of work and a budget of $391548.,"['Web Development', 'Machine Learning']",369000,PLCS0066,2022-04-03,2021-04-21
Code a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $142600.,"['C++ Programming', 'UI/UX Design']",188500,PLCS0067,2022-04-25,2021-03-31
Code a Java Programming App,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $61350.,['Java Programming'],101500,PLCS0068,2021-11-11,2021-04-14
Code a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $209038.,"['Java Programming', 'Data Analysis']",328000,PLCS0069,2021-01-24,2021-03-28
Implement a Machine Learning System,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $341339.,['Machine Learning'],165500,PLCS0070,2022-09-21,2021-03-12
Create a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $48711.,"['Android Mobile App Programming', 'UI/UX Design']",146500,PLCS0071,2022-01-08,2021-05-30
Develop a Java Programming Platform,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $366952.,['Java Programming'],318500,PLCS0072,2022-12-16,2021-04-05
Code a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $62377.,['UI/UX Design'],47500,PLCS0073,2021-06-18,2021-05-28
Build a Data Analysis System,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $190828.,['Data Analysis'],370000,PLCS0074,2021-01-05,2021-06-12
Create a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $172428.,"['Machine Learning', 'UI/UX Design']",151000,PLCS0075,2021-03-11,2021-05-18
Design a C++ Programming System,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $321744.,"['C++ Programming', 'Java Programming']",109000,PLCS0076,2022-06-07,2021-06-03
Build a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $269749.,['C++ Programming'],87000,PLCS0077,2022-01-20,2021-03-25
Implement a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $279458.,['Android Mobile App Programming'],377500,PLCS0078,2021-07-15,2021-03-11
Develop a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $212962.,['C++ Programming'],258000,PLCS0079,2021-09-10,2021-05-24
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $214039.,['Data Analysis'],51000,PLCS0080,2021-07-15,2021-05-04
Develop a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $334571.,['Java Programming'],244000,PLCS0081,2022-01-12,2021-05-17
Build a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $68493.,"['Android Mobile App Programming', 'C++ Programming']",54000,PLCS0082,2022-07-05,2021-02-13
Implement a UI/UX Design System,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $164978.,['UI/UX Design'],152000,PLCS0083,2021-08-11,2021-03-03
Design a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $146410.,"['Java Programming', 'Data Analysis']",227000,PLCS0084,2022-03-01,2021-03-06
Design a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $212325.,"['Java Programming', 'Android Mobile App Programming']",99000,PLCS0085,2021-05-07,2021-06-12
Implement a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $109431.,['Android Mobile App Programming'],34500,PLCS0086,2022-10-13,2021-05-06
Implement a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $296097.,['Web Development'],226500,PLCS0087,2021-07-26,2021-02-25
Design a Machine Learning Tool,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $397851.,"['Machine Learning', 'Data Analysis']",329500,PLCS0088,2021-10-10,2021-02-14
Implement a Data Analysis System,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $69980.,['Data Analysis'],159000,PLCS0089,2021-05-15,2021-06-01
Design a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $382433.,['Android Mobile App Programming'],102000,PLCS0090,2022-09-10,2021-02-09
Implement a Web Development App,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $191716.,['Web Development'],307500,PLCS0091,2021-10-26,2021-05-16
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $122486.,['Android Mobile App Programming'],155500,PLCS0092,2022-05-14,2021-02-24
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $226360.,"['Android Mobile App Programming', 'C++ Programming']",154000,PLCS0093,2021-01-21,2021-05-20
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $369743.,['UI/UX Design'],225000,PLCS0094,2022-06-20,2021-02-06
Create a C++ Programming Tool,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $128766.,"['C++ Programming', 'Machine Learning']",383000,PLCS0095,2022-06-04,2021-05-25
Create a Java Programming Tool,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $354186.,"['Java Programming', 'UI/UX Design']",195000,PLCS0096,2021-04-09,2021-02-06
Create a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $288678.,"['Data Analysis', 'Java Programming']",285500,PLCS0097,2021-10-19,2021-06-06
Design a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $175598.,"['Android Mobile App Programming', 'Web Development']",225500,PLCS0098,2021-09-16,2021-02-01
Code a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $249954.,"['Web Development', 'Machine Learning']",323000,PLCS0099,2021-05-27,2021-01-31
Implement a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $229993.,['UI/UX Design'],62500,PLCS0100,2021-07-13,2021-04-22
Code a Data Analysis System,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $386499.,"['Data Analysis', 'UI/UX Design']",369500,PLCS0101,2021-11-29,2021-06-10
Develop a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $105089.,['UI/UX Design'],173500,PLCS0102,2022-06-20,2021-04-29
Build a Java Programming App,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $315504.,"['Java Programming', 'Android Mobile App Programming']",88000,PLCS0103,2022-08-09,2021-06-05
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $250044.,['Android Mobile App Programming'],313500,PLCS0104,2021-12-26,2021-02-28
Build a Java Programming System,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $32082.,['Java Programming'],206500,PLCS0105,2021-01-02,2021-03-30
Design a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 4 months of work and a budget of $172783.,"['Web Development', 'Android Mobile App Programming']",324000,PLCS0106,2022-12-01,2021-06-10
Implement a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $331970.,"['UI/UX Design', 'C++ Programming']",75500,PLCS0107,2022-06-19,2021-05-21
Design a Machine Learning System,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $273272.,['Machine Learning'],203500,PLCS0108,2022-04-22,2021-05-15
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $63554.,"['Machine Learning', 'Data Analysis']",153500,PLCS0109,2021-08-03,2021-04-25
Create a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $93661.,['Android Mobile App Programming'],268500,PLCS0110,2022-10-20,2021-02-15
Develop a Java Programming App,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $193912.,"['Java Programming', 'UI/UX Design']",41000,PLCS0111,2021-05-07,2021-06-14
Build a C++ Programming Tool,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $344642.,['C++ Programming'],51500,PLCS0112,2022-01-09,2021-04-18
Build a Data Analysis System,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $331199.,['Data Analysis'],88500,PLCS0113,2022-03-26,2021-03-09
Build a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $165970.,['Machine Learning'],186500,PLCS0114,2022-12-07,2021-05-20
Develop a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $197129.,"['Android Mobile App Programming', 'Data Analysis']",89000,PLCS0115,2022-11-02,2021-05-26
Design a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $201915.,['Android Mobile App Programming'],350000,PLCS0116,2022-01-08,2021-03-26
Code a Java Programming Platform,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $298208.,"['Java Programming', 'UI/UX Design']",317500,PLCS0117,2022-05-07,2021-03-27
Build a C++ Programming Platform,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $60634.,"['C++ Programming', 'Java Programming']",233500,PLCS0118,2022-05-24,2021-04-12
Build a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $267342.,"['Java Programming', 'Android Mobile App Programming']",147000,PLCS0119,2021-02-03,2021-05-24
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $80632.,"['Machine Learning', 'UI/UX Design']",163500,PLCS0120,2021-09-11,2021-05-16
Implement a Data Analysis Platform,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $309154.,"['Data Analysis', 'Web Development']",205500,PLCS0121,2021-09-23,2021-03-26
Create a Web Development Tool,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 5 months of work and a budget of $247418.,['Web Development'],288500,PLCS0122,2022-01-12,2021-03-19
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $398776.,['UI/UX Design'],383500,PLCS0123,2022-12-13,2021-05-28
Build a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $38885.,['Data Analysis'],388500,PLCS0124,2022-07-08,2021-04-28
Develop a Machine Learning System,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $364979.,"['Machine Learning', 'Web Development']",318500,PLCS0125,2021-02-05,2021-02-09
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $329732.,['Machine Learning'],315500,PLCS0126,2021-02-13,2021-04-15
Create a Web Development App,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 3 months of work and a budget of $363248.,"['Web Development', 'Data Analysis']",336000,PLCS0127,2022-03-15,2021-06-08
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $41556.,['Data Analysis'],139000,PLCS0128,2022-03-10,2021-03-10
Develop a C++ Programming System,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $248704.,"['C++ Programming', 'Data Analysis']",60000,PLCS0129,2021-05-31,2021-04-22
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $275328.,['Android Mobile App Programming'],310500,PLCS0130,2022-02-09,2021-05-31
Build a Machine Learning App,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $61784.,['Machine Learning'],380000,PLCS0131,2022-09-22,2021-06-09
Build a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $45473.,['Android Mobile App Programming'],379500,PLCS0132,2022-08-28,2021-05-21
